id,login,company,created_at,type,fake,deleted,long,lat,country_code,state,city,location
303,Marak,\N,4/3/09 1:34,USR,0,0,-74.0059728,40.7127753,us,New York,New York,"New York City, New York"
304,jdavis,\N,11/24/09 21:39,USR,0,0,-122.3320708,47.6062095,us,King County,Seattle,"Seattle, Washington"
305,nire,\N,2/4/11 7:57,USR,0,0,0,0,\N,\N,\N,\N
306,shenoudab,mobiThought,2/26/08 7:25,USR,0,0,30.802498,26.820553,eg,\N,\N,Egypt
307,stonegao,Innovation Works,12/22/08 10:19,USR,0,0,116.4073963,39.9041999,cn,Beijing,Beijing,Beijing
308,jsilence,\N,4/23/10 7:43,USR,0,0,0,0,\N,\N,\N,\N
309,dgkim84,\N,9/1/10 7:05,USR,0,0,0,0,\N,\N,\N,\N
310,gaustin,\N,4/8/08 11:10,USR,0,0,-122.6587185,45.5122308,us,Multnomah County,Portland,"Portland, OR"
311,ludovicc,\N,7/14/09 17:38,USR,0,0,0,0,\N,\N,\N,\N
313,cgst,\N,7/4/09 9:37,USR,0,0,-122.4196396,37.77711868,us,CA,San Francisco,San Francisco
314,jonathanchu,\N,3/23/09 17:16,USR,0,0,-74.4056612,40.0583238,us,New Jersey,\N,New Jersey
315,gkamp,\N,6/2/09 4:21,USR,0,0,0,0,\N,\N,\N,\N
316,adamgotterer,"CTO @ Knotch. Previously led engineering at CollegeHumor, Lot18, and Nomi",3/16/10 1:04,USR,0,0,-74.0059728,40.7127753,us,New York,New York,"New York, NY"
317,jbeluch,Squarespace,2/12/10 14:09,USR,0,0,-105.2705456,40.0149856,us,Boulder County,Boulder,Boulder
318,mt3,\N,3/21/10 13:25,USR,0,0,0,0,\N,\N,\N,vancity/detroit
319,jibs,\N,1/20/10 16:06,USR,0,0,0,0,\N,\N,\N,\N
320,jesperes,#NAME?,6/21/10 16:53,USR,0,0,17.6389267,59.8585638,se,Uppsala County,Uppsala,"Uppsala, Sweden"
321,igorette,\N,8/25/08 6:29,USR,0,0,0,0,\N,\N,\N,\N
322,teknikqa,\N,7/2/09 14:22,USR,0,0,0,0,\N,\N,\N,\N
323,crunchorn,\N,10/30/09 20:57,USR,0,0,0,0,\N,\N,\N,\N
324,QQMFPOXL,\N,8/3/12 16:09,USR,1,1,\N,\N,\N,\N,\N,\N
325,joshbohde,\N,2/26/09 14:21,USR,0,0,-93.2650108,44.977753,us,Hennepin County,Minneapolis,"Minneapolis, MN"
326,dkeskar,memamsa,4/21/09 4:15,USR,0,0,0,0,\N,\N,\N,"Portland, OR"
327,VWAVTPWE,\N,8/3/12 16:09,USR,1,0,\N,\N,\N,\N,\N,\N
328,savage69kr,\N,2/13/09 7:32,USR,0,0,0,0,\N,\N,\N,\N
329,jotun,\N,8/23/10 20:06,USR,0,0,0,0,\N,\N,\N,\N
330,mopemope,Abby,8/31/08 8:37,USR,0,0,139.6917064,35.6894875,jp,Tokyo,Tokyo,"Tokyo, Japan"
331,ryuuzaki,\N,7/10/09 8:36,USR,0,0,0,0,\N,\N,\N,\N
332,adkdev,\N,3/3/10 10:20,USR,0,0,100.5017651,13.7563309,th,\N,Bangkok,"Bangkok, Thailand"
333,johndbritton,GitHub,9/4/09 16:06,USR,0,0,-74.0059728,40.7127753,us,New York,New York,New York
335,danielbachhuber,Hand Built,11/24/08 19:58,USR,0,0,0,0,\N,\N,\N,"Tualatin, OR"
336,arasue,\N,8/30/10 17:02,USR,0,0,0,0,\N,\N,\N,"santa clara, ca"
337,albertsun,The New York Times,9/1/10 1:36,USR,0,0,-74.0059728,40.7127753,us,New York,New York,"New York, NY"
338,tsukkee,\N,5/8/08 23:00,USR,0,0,139.6423446,35.4475073,jp,Kanagawa Prefecture,\N,"Kanagawa, Japan"
339,aparo,Paro Consulting,10/8/08 5:19,USR,0,0,0,0,\N,\N,\N,Milan (Italy)
340,chief3rd,\N,5/13/08 13:04,USR,0,0,0,0,\N,\N,\N,\N
341,bobdia,Disattention Labs,5/3/10 22:48,USR,0,0,0,0,\N,\N,\N,Elsewhere
342,greglinch,#NAME?,7/9/10 18:11,USR,0,0,-77.0368707,38.9071923,us,District of Columbia,Washington,"Washington, D.C."
343,joshleitzel,\N,8/27/09 23:27,USR,0,0,0,0,\N,\N,\N,\N
344,davemerwin,Pure Blue,2/28/08 4:25,USR,0,0,-123.0867536,44.0520691,us,Lane County,Eugene,"Eugene, OR"
345,trueitalic,OnDeck,11/13/08 0:59,USR,0,0,-73.83170319,40.7820015,us,NY,New York,New York
346,stan,\N,2/28/08 12:20,USR,0,0,139.6917064,35.6894875,jp,Tokyo,Tokyo,"Tokyo, Japan"
348,orlin,Astrolet,3/6/08 17:49,USR,0,0,27.9147333,43.2140504,bg,Varna,Varna,"Varna, Bulgaria"
